#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_001133.9	1	230218	30339	222146	96.4938	4.43167	29.7	32.4
NC_001134.8	1	813184	92520	777542	95.617	3.83972	30	38.3
NC_001135.5	1	316620	40170	300551	94.9248	4.24485	29.7	36.6
NC_001136.10	1	1531933	166845	1457588	95.147	3.67584	30	36.9
NC_001137.3	1	576874	71821	556809	96.5218	4.20304	29.9	37.5
NC_001138.5	1	270161	35554	261110	96.6498	4.42964	29.8	36.5
NC_001139.9	1	1090940	123115	1043375	95.64	3.80711	30	37.9
NC_001140.6	1	562643	70553	541136	96.1775	4.22585	29.8	35.1
NC_001141.2	1	439888	56634	421046	95.7166	4.33037	29.9	36.1
NC_001142.9	1	745751	89392	716495	96.077	4.04446	29.9	36.6
NC_001143.9	1	666816	77635	640025	95.9822	3.92418	30	39.5
NC_001144.5	1	1078177	291244	1026094	95.1693	9.07349	29.6	16.5
NC_001145.3	1	924431	107413	885238	95.7603	3.91907	30	38.3
NC_001146.8	1	784333	94548	756062	96.3955	4.05815	29.9	37.3
NC_001147.6	1	1091291	124093	1043410	95.6124	3.83873	30	37.9
NC_001148.4	1	948066	107456	906708	95.6376	3.8277	30	37.4
NC_001224.1	1	85779	79201	85679	99.8834	32.0968	29.9	31
